act,vendor,gem,class_name,mission
Act 3,Siosa,Molten_Strike,Witch,A Fixture of Fate
Act 3,Siosa,Molten_Strike,Shadow,A Fixture of Fate
Act 3,Siosa,Molten_Strike,Ranger,A Fixture of Fate
Act 1,Nessa,Molten_Strike,Duelist,Enemy at the Gate
Act 1,Nessa,Molten_Strike,Marauder,Enemy at the Gate
Act 1,Nessa,Molten_Strike,Templar,Enemy at the Gate
Act 1,Nessa,Molten_Strike,Scion,Enemy at the Gate
Act 3,Siosa,Viper_Strike,Witch,A Fixture of Fate
Act 1,Nessa,Viper_Strike,Shadow,Enemy at the Gate
Act 1,Nessa,Viper_Strike,Ranger,Enemy at the Gate
Act 1,Nessa,Viper_Strike,Duelist,Enemy at the Gate
Act 3,Siosa,Viper_Strike,Marauder,A Fixture of Fate
Act 3,Siosa,Viper_Strike,Templar,A Fixture of Fate
Act 1,Nessa,Viper_Strike,Scion,Enemy at the Gate
Act 4,Petarus and Vanja,Hydrosphere,Witch,Breaking the Seal
Act 4,Petarus and Vanja,Hydrosphere,Shadow,Breaking the Seal
Act 6,Lilly Roth,Hydrosphere,Ranger,Fallen from Grace
Act 6,Lilly Roth,Hydrosphere,Duelist,Fallen from Grace
Act 6,Lilly Roth,Hydrosphere,Marauder,Fallen from Grace
Act 4,Petarus and Vanja,Hydrosphere,Templar,Breaking the Seal
Act 4,Petarus and Vanja,Hydrosphere,Scion,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Ice_Golem,Witch,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Ice_Golem,Shadow,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Ice_Golem,Ranger,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Ice_Golem,Duelist,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Ice_Golem,Marauder,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Ice_Golem,Templar,Breaking the Seal
Act 4,Petarus and Vanja,Summon_Ice_Golem,Scion,Breaking the Seal
Act 1,Nessa,Flame_Wall,Witch,Breaking Some Eggs
Act 1,Nessa,Flame_Wall,Shadow,Breaking Some Eggs
Act 3,Siosa,Flame_Wall,Ranger,A Fixture of Fate
Act 3,Siosa,Flame_Wall,Duelist,A Fixture of Fate
Act 3,Siosa,Flame_Wall,Marauder,A Fixture of Fate
Act 1,Nessa,Flame_Wall,Templar,Breaking Some Eggs
Act 1,Nessa,Flame_Wall,Scion,Breaking Some Eggs
Act 1,Nessa,Lightning_Tendrils,Witch,Enemy at the Gate
Act 1,Nessa,Lightning_Tendrils,Shadow,Enemy at the Gate
Act 3,Siosa,Lightning_Tendrils,Ranger,A Fixture of Fate
Act 3,Siosa,Lightning_Tendrils,Duelist,A Fixture of Fate
Act 3,Siosa,Lightning_Tendrils,Marauder,A Fixture of Fate
Act 1,Nessa,Lightning_Tendrils,Templar,Enemy at the Gate
Act 1,Nessa,Lightning_Tendrils,Scion,Enemy at the Gate
Act 4,Petarus and Vanja,Frost_Shield,Witch,Breaking the Seal
Act 4,Petarus and Vanja,Frost_Shield,Shadow,Breaking the Seal
Act 6,Lilly Roth,Frost_Shield,Ranger,Fallen from Grace
Act 6,Lilly Roth,Frost_Shield,Duelist,Fallen from Grace
Act 6,Lilly Roth,Frost_Shield,Marauder,Fallen from Grace
Act 4,Petarus and Vanja,Frost_Shield,Templar,Breaking the Seal
Act 4,Petarus and Vanja,Frost_Shield,Scion,Breaking the Seal
Act 3,Siosa,Flesh_and_Stone,Witch,A Fixture of Fate
Act 3,Siosa,Flesh_and_Stone,Shadow,A Fixture of Fate
Act 3,Siosa,Flesh_and_Stone,Ranger,A Fixture of Fate
Act 2,Yeena,Flesh_and_Stone,Duelist,Intruders in Black
Act 2,Yeena,Flesh_and_Stone,Marauder,Intruders in Black
Act 3,Siosa,Flesh_and_Stone,Templar,A Fixture of Fate
Act 2,Yeena,Flesh_and_Stone,Scion,Intruders in Black
Act 3,Clarissa,Elemental_Weakness,Witch,Lost in Love
Act 3,Clarissa,Elemental_Weakness,Shadow,Lost in Love
Act 3,Siosa,Elemental_Weakness,Ranger,A Fixture of Fate
