act,vendor,gem,class_name,mission
1,Nessa,Ice Shot,Duelist,Enemy at the Gate
1,Nessa,Split Arrow,Duelist,Enemy at the Gate
1,Nessa,Heavy Strike,Duelist,Enemy at the Gate
1,Nessa,Ground Slam,Duelist,Enemy at the Gate
1,Nessa,Molten Strike,Duelist,Enemy at the Gate
1,Nessa,Glacial Hammer,Duelist,Enemy at the Gate
1,Nessa,Frost Blades,Duelist,Enemy at the Gate
1,Nessa,Double Strike,Duelist,Enemy at the Gate
1,Nessa,Perforate,Duelist,Enemy at the Gate
1,Nessa,Caustic Arrow,Duelist,Enemy at the Gate
1,Nessa,Onslaught,Duelist,Enemy at the Gate
1,Nessa,Galvanic Arrow,Duelist,Enemy at the Gate
1,Nessa,Viper Strike,Duelist,Enemy at the Gate
1,Nessa,Dual Strike,Duelist,Enemy at the Gate
1,Nessa,Cleave,Duelist,Enemy at the Gate
1,Nessa,Spectral Throw,Duelist,Enemy at the Gate
1,Nessa,Burning Arrow,Duelist,Enemy at the Gate
1,Nessa,Flicker Strike,Duelist,The Caged Brute
1,Nessa,Leap Slam,Duelist,The Caged Brute
1,Nessa,Rallying Cry,Duelist,The Caged Brute
1,Nessa,Smoke Mine,Duelist,The Caged Brute
1,Nessa,Withering Step,Duelist,The Caged Brute
1,Nessa,Melee Splash,Duelist,The Caged Brute
1,Nessa,Knockback,Duelist,The Caged Brute
1,Nessa,Blink Arrow,Duelist,The Caged Brute
1,Nessa,Added Fire Damage,Duelist,The Caged Brute
1,Nessa,Lesser Multiple Projectiles,Duelist,The Caged Brute
1,Nessa,Life Gain on Hit,Duelist,The Caged Brute
1,Nessa,Whirling Blades,Duelist,The Caged Brute
1,Nessa,Arrow Nova,Duelist,The Caged Brute
1,Nessa,Stun,Duelist,The Caged Brute
1,Nessa,Ballista Totem,Duelist,The Caged Brute
1,Nessa,Additional Accuracy,Duelist,The Caged Brute
1,Nessa,Shield Charge,Duelist,The Caged Brute
1,Nessa,Precision,Duelist,The Caged Brute
1,Nessa,Chance to Flee,Duelist,The Caged Brute
1,Nessa,Trap,Duelist,The Caged Brute
1,Nessa,Maim,Duelist,The Caged Brute
1,Nessa,Blind,Duelist,The Caged Brute
1,Nessa,Reave,Duelist,The Siren's Cadence
1,Nessa,Infernal Blow,Duelist,The Siren's Cadence
1,Nessa,Rain of Arrows,Duelist,The Siren's Cadence
1,Nessa,Lightning Arrow,Duelist,The Siren's Cadence
1,Nessa,Lightning Strike,Duelist,The Siren's Cadence
1,Nessa,Siege Ballista,Duelist,The Siren's Cadence
1,Nessa,Lacerate,Duelist,The Siren's Cadence
1,Nessa,Barrage,Duelist,The Siren's Cadence
1,Nessa,Shattering Steel,Duelist,The Siren's Cadence
1,Nessa,Elemental Hit,Duelist,The Siren's Cadence
1,Nessa,Sunder,Duelist,The Siren's Cadence
1,Nessa,Chain Hook,Duelist,The Siren's Cadence
1,Nessa,Sweep,Duelist,The Siren's Cadence
1,Nessa,Static Strike,Duelist,The Siren's Cadence
1,Nessa,Toxic Rain,Duelist,The Siren's Cadence
1,Nessa,Spectral Shield Throw,Duelist,The Siren's Cadence
1,Nessa,Decoy Totem,Duelist,Breaking Some Eggs
1,Nessa,Dash,Duelist,Breaking Some Eggs
1,Nessa,Devouring Totem,Duelist,Breaking Some Eggs
1,Nessa,Ancestral Protector,Duelist,Breaking Some Eggs
1,Nessa,Molten Shell,Duelist,Breaking Some Eggs
1,Nessa,Riposte,Duelist,Breaking Some Eggs
1,Nessa,War Banner,Duelist,Breaking Some Eggs
1,Nessa,Frostblink,Duelist,Breaking Some Eggs
1,Nessa,Frost Wall,Duelist,Breaking Some Eggs
1,Nessa,Puncture,Duelist,Breaking Some Eggs
1,Nessa,Shrapnel Ballista,Duelist,Breaking Some Eggs
1,Nessa,Vigilant Strike,Duelist,Breaking Some Eggs
1,Nessa,Steelskin,Duelist,Breaking Some Eggs
1,Nessa,Reckoning,Duelist,Breaking Some Eggs
1,Nessa,Rejuvenation Totem,Duelist,Breaking Some Eggs
1,Nessa,Blood and Sand,Duelist,Breaking Some Eggs
1,Nessa,Ancestral Call,Duelist,Mercy Mission
1,Nessa,Ruthless,Duelist,Mercy Mission
1,Nessa,Volley,Duelist,Mercy Mission
1,Nessa,Pierce,Duelist,Mercy Mission
1,Nessa,Mirage Archer,Duelist,Mercy Mission
1,Nessa,Swift Assembly,Duelist,Mercy Mission
1,Nessa,Chance to Bleed,Duelist,Mercy Mission
1,Nessa,Heavy Strike,Marauder,Enemy at the Gate
1,Nessa,Molten Strike,Marauder,Enemy at the Gate
1,Nessa,Ground Slam,Marauder,Enemy at the Gate
1,Nessa,Fireball,Marauder,Enemy at the Gate
1,Nessa,Glacial Hammer,Marauder,Enemy at the Gate
1,Nessa,Onslaught,Marauder,Enemy at the Gate
1,Nessa,Smite,Marauder,Enemy at the Gate
1,Nessa,Ethereal Knives,Marauder,Enemy at the Gate
1,Nessa,Cleave,Marauder,Enemy at the Gate
1,Nessa,Spectral Throw,Marauder,Enemy at the Gate
1,Nessa,Perforate,Marauder,Enemy at the Gate
1,Nessa,Dual Strike,Marauder,Enemy at the Gate
1,Nessa,Double Strike,Marauder,Enemy at the Gate
1,Nessa,Flicker Strike,Marauder,The Caged Brute
1,Nessa,Shield Charge,Marauder,The Caged Brute
1,Nessa,Rallying Cry,Marauder,The Caged Brute
1,Nessa,Added Fire Damage,Marauder,The Caged Brute
1,Nessa,Leap Slam,Marauder,The Caged Brute
1,Nessa,Precision,Marauder,The Caged Brute
1,Nessa,Smoke Mine,Marauder,The Caged Brute
1,Nessa,Additional Accuracy,Marauder,The Caged Brute
